ID	KoxWt_log2FC	KoxWt_p	KoOokxWtOok_log2FC	KoOokxWtOok_p	1614.Gx507.G_log2FC	1614.Gx507.G_p	1614.Gx507.8_log2FC	1614.Gx507.8_p	1614.Gx507.16_log2FC	1614.Gx507.16_p	1614.Gx507.24_log2FC	1614.Gx507.24_p	1614.8x507.G_log2FC	1614.8x507.G_p	1614.8x507.8_log2FC	1614.8x507.8_p	1614.8x507.16_log2FC	1614.8x507.16_p	1614.8x507.24_log2FC	1614.8x507.24_p	1614.16x507.G_log2FC	1614.16x507.G_p	1614.16x507.8_log2FC	1614.16x507.8_p	1614.16x507.16_log2FC	1614.16x507.16_p	1614.16x507.24_log2FC	1614.16x507.24_p	1614.24x507.G_log2FC	1614.24x507.G_p	1614.24x507.8_log2FC	1614.24x507.8_p	1614.24x507.16_log2FC	1614.24x507.16_p	1614.24x507.24_log2FC	1614.24x507.24_p	1614.GxWT_log2FC	1614.GxWT_p	1614.8xWT_log2FC	1614.8xWT_p	1614.16xWT_log2FC	1614.16xWT_p	1614.24xWT_log2FC	1614.24xWT_p	1614.8xWT_log2FC	1614.8xWT_p	1614.16xWT_log2FC	1614.16xWT_p	1614.24xWT_log2FC	1614.24xWT_p
PBANKA_0800500	-3.03066541736561	0.0241842556420562	-4.04313000598555	0.000164541341011929	0.00672834849423332	1	-9.2831535119782	0.1	-10.6233553407721	0.1	-11.3725266709417	0.1	4.9453121860091	0.1	-4.34456967446333	0.1	-5.68477150325723	0.1	-6.43394283342684	0.1	5.83173877207287	0.1	-3.45814308839956	0.1	-4.79834491719345	0.1	-5.54751624736307	0.1	8.39277959313606	0.1	-0.897102267336372	0.4	-2.23730409613027	0.1	-2.98647542629988	0.1	-7.81807679379944	0.0483516483516484	-2.87949295628458	0.232967032967033	-1.9930663702208	0.232967032967033	0.567974450842382	0.364835164835165	-5.48776133704913	0.00909090909090909	-4.60133475098536	0.00909090909090909	-2.04029392992217	0.0363636363636364
PBANKA_0716800	-2.3747223662191	0.0284206976224744	-3.22962362630617	4.11353352529823e-05	0.189981414042136	0.4	-8.77040144122013	0.1	-8.3870634410375	0.1	-8.3237160424455	0.1	5.24300057403232	0.1	-3.71738228122995	0.1	-3.33404428104733	0.1	-3.27069688245532	0.1	4.56422574441571	0.1	-4.39615711084655	0.1	-4.01281911066393	0.1	-3.94947171207193	0.1	6.555027969463	0.1	-2.40535488579926	0.1	-2.02201688561664	0.1	-1.95866948702464	0.1	-6.32279987766525	0.136263736263736	-1.26978071767507	0.232967032967033	-1.94855554729167	0.232967032967033	0.0422466777556139	0.232967032967033	-3.44070781491087	0.00909090909090909	-4.11948264452747	0.00909090909090909	-2.12868041948018	0.00909090909090909
PBANKA_1432300	-1.89758528695019	0.0387211388692073	-2.66343106189556	0.000287947346770876	0.39995203788591	0.7	-6.94185807859073	0.1	-7.87226657679725	0.1	-7.79742916564416	0.1	4.29112596234421	0.1	-3.05068415413243	0.1	-3.98109265233895	0.1	-3.90625524118586	0.1	4.81122476064439	0.1	-2.53058535583225	0.1	-3.46099385403877	0.1	-3.38615644288568	0.1	6.7187660260146	0.1	-0.623044090462038	0.7	-1.55345258866855	0.1	-1.47861517751547	0.1	-5.55290044578656	0.101098901098901	-1.66172652132826	0.232967032967033	-1.14162772302808	0.232967032967033	0.765913542342137	0.448351648351648	-3.64601068255242	0.00909090909090909	-3.12591188425223	0.00909090909090909	-1.21837061888202	0.0636363636363636
PBANKA_1225400	-2.23206595413807	0.0284206976224744	-3.04924440869407	8.22706705059646e-05	0.21946940952993	0.7	-6.80333627236727	0.1	-7.64912078397657	0.1	-7.97555976384063	0.1	3.60696427578459	0.1	-3.41584140611261	0.1	-4.26162591772191	0.1	-4.58806489758597	0.1	4.24078692081577	0.1	-2.78201876108142	0.1	-3.62780327269072	0.1	-3.95424225255478	0.1	6.09094062609166	0.1	-0.931865055805535	0.2	-1.77764956741484	0.1	-2.10408854727889	0.1	-5.55213685266363	0.101098901098901	-2.16464198640898	0.232967032967033	-1.53081934137779	0.232967032967033	0.319334363898099	0.294505494505495	-4.08851074047349	0.00909090909090909	-3.45468809544231	0.00909090909090909	-1.60453439016642	0.0181818181818182
PBANKA_0701900	-2.48026532040725	0.0172711929341355	-3.23995003417485	4.11353352529823e-05	-0.20121117910445	1	-7.0338873073656	0.1	-7.79623248158485	0.1	-8.09104200516806	0.1	3.51310334732446	0.1	-3.3195727809367	0.1	-4.08191795515594	0.1	-4.37672747873915	0.1	3.57892018523221	0.1	-3.25375594302894	0.1	-4.01610111724819	0.1	-4.31091064083139	0.1	5.50565462172393	0.1	-1.32702150653723	0.1	-2.08936668075648	0.1	-2.38417620433968	0.1	-5.78059324330574	0.0483516483516484	-2.06627871687683	0.232967032967033	-2.00046187896908	0.232967032967033	-0.0737274424773648	0.232967032967033	-3.92607273827726	0.00909090909090909	-3.86025590036951	0.00909090909090909	-1.93352146387779	0.00909090909090909
PBANKA_0820200	-3.0350603402148	0.00829316060168126	-3.76286443998917	4.11353352529823e-05	-0.851648040891671	0.1	-7.26843342169771	0.1	-7.79319084946142	0.1	-8.48240424626744	0.1	2.6285114453749	0.1	-3.78827393543115	0.1	-4.31303136319486	0.1	-5.00224476000088	0.1	2.20551192206618	0.1	-4.21127345873987	0.1	-4.73603088650358	0.1	-5.4252442833096	0.1	4.86646770734298	0.1	-1.55031767346306	0.1	-2.07507510122677	0.1	-2.76428849803279	0.1	-6.09891913957956	0.0043956043956044	-2.618759653313	0.232967032967033	-3.04175917662172	0.232967032967033	-0.38080339134491	0.232967032967033	-4.36785001954229	0.00909090909090909	-4.79084954285101	0.00909090909090909	-2.12989375757421	0.00909090909090909
PBANKA_1456700	-2.26963561319708	0.0100445388505693	-2.84975643311765	8.22706705059646e-05	-0.529273153435361	0.1	-6.76238543017106	0.1	-7.54692396775664	0.1	-7.76604376277932	0.1	3.24150117639683	0.1	-2.99161110033887	0.1	-3.77614963792444	0.1	-3.99526943294713	0.1	3.3220306690033	0.1	-2.9110816077324	0.1	-3.69562014531798	0.1	-3.91473994034066	0.1	5.37473255564785	0.1	-0.858379721087852	0.2	-1.64291825867343	0.1	-1.86203805369611	0.1	-5.65115657853559	0.0043956043956044	-1.8803822487034	0.232967032967033	-1.79985275609694	0.232967032967033	0.252849130547617	0.294505494505495	-3.58767672373681	0.00909090909090909	-3.50714723113035	0.00909090909090909	-1.4544453444858	0.0181818181818182
PBANKA_1034500	-1.82581284126994	0.0120939768267807	-2.37205926955242	4.11353352529823e-05	-0.187073556422508	0.4	-6.87842186760928	0.1	-7.19381166504606	0.1	-7.29989071572115	0.1	4.20414016044765	0.1	-2.48720815073913	0.1	-2.8025979481759	0.1	-2.90867699885099	0.1	3.98608787876134	0.1	-2.70526043242543	0.1	-3.02065022986221	0.1	-3.1267292805373	0.1	5.50449773124273	0.1	-1.18685057994405	0.1	-1.50224037738082	0.1	-1.60831942805592	0.1	-5.38979945119975	0.0175824175824176	-0.998585734329593	0.232967032967033	-1.2166380160159	0.232967032967033	0.301771836465486	0.232967032967033	-2.73282769925534	0.00909090909090909	-2.95087998094164	0.00909090909090909	-1.43247012846026	0.00909090909090909
PBANKA_1106900	-2.16522154261436	0.0596570612050488	-3.08357901738577	0.000493624023035788	0.589850881699849	0.2	-4.61620844323339	0.1	-6.48290606120929	0.1	-6.81022689299515	0.1	2.66610759370308	0.1	-2.53995173123016	0.1	-4.40664934920605	0.1	-4.73397018099191	0.1	3.21138746847889	0.1	-1.99467185645435	0.2	-3.86136947443025	0.1	-4.1886903062161	0.1	4.55066192819809	0.1	-0.655397396735149	0.7	-2.52209501471105	0.1	-2.84941584649691	0.1	-4.32987262893449	0.18021978021978	-2.25361591693126	0.232967032967033	-1.70833604215545	0.294505494505495	-0.369061582436252	0.448351648351648	-3.89352375380937	0.00909090909090909	-3.34824387903357	0.0181818181818182	-2.00896941931437	0.0636363636363636
PBANKA_0908600	-1.28498629812083	0.0518646113611789	-1.7692714313259	0.00123406005758947	0.167869101494384	1	-5.66862858164571	0.1	-6.55315226331518	0.1	-7.12903918416789	0.1	3.75390885847079	0.1	-2.08258882466931	0.1	-2.96711250633878	0.1	-3.54299942719149	0.1	4.88500207085841	0.1	-0.951495612281686	0.1	-1.83601929395116	0.1	-2.41190621480387	0.1	5.90770211030504	0.1	0.0712044271649486	0.7	-0.813319254504522	0.1	-1.38920617535724	0.1	-4.7957377319086	0.0703296703296703	-1.2096979749322	0.232967032967033	-0.0786047625445772	0.232967032967033	0.944095276902058	0.734065934065934	-2.86423358606653	0.00909090909090909	-1.73314037367891	0.00909090909090909	-0.71044033423227	0.209090909090909
